2026-07-19T13:39:48+00:00 START ham-random-perm_thr cpu=3 attempt=1
ham-rs perm_thr 20000/100000 best=0.494370s eval=11740 elapsed=436.0s
ham-rs perm_thr 20250/100000 best=0.494370s eval=11740 elapsed=441.3s
ham-rs perm_thr 20500/100000 best=0.494370s eval=11740 elapsed=446.7s
ham-rs perm_thr 20750/100000 best=0.494370s eval=11740 elapsed=452.1s
ham-rs perm_thr 21000/100000 best=0.494370s eval=11740 elapsed=457.6s
ham-rs perm_thr 21250/100000 best=0.494370s eval=11740 elapsed=463.0s
ham-rs perm_thr 21500/100000 best=0.566688s eval=21470 elapsed=469.0s
ham-rs perm_thr 21750/100000 best=0.566688s eval=21470 elapsed=474.3s
ham-rs perm_thr 22000/100000 best=0.566688s eval=21470 elapsed=479.5s
ham-rs perm_thr 22250/100000 best=0.566688s eval=21470 elapsed=484.6s
ham-rs perm_thr 22500/100000 best=0.566688s eval=21470 elapsed=490.2s
ham-rs perm_thr 22750/100000 best=0.566688s eval=21470 elapsed=495.3s
ham-rs perm_thr 23000/100000 best=0.566688s eval=21470 elapsed=500.5s
ham-rs perm_thr 23250/100000 best=0.566688s eval=21470 elapsed=505.7s
ham-rs perm_thr 23500/100000 best=0.566688s eval=21470 elapsed=511.0s
ham-rs perm_thr 23750/100000 best=0.566688s eval=21470 elapsed=516.8s
ham-rs perm_thr 24000/100000 best=0.566688s eval=21470 elapsed=522.1s
ham-rs perm_thr 24250/100000 best=0.566688s eval=21470 elapsed=527.9s
ham-rs perm_thr 24500/100000 best=0.566688s eval=21470 elapsed=533.1s
ham-rs perm_thr 24750/100000 best=0.566688s eval=21470 elapsed=538.4s
ham-rs perm_thr 25000/100000 best=0.566688s eval=21470 elapsed=543.8s
ham-rs perm_thr 25250/100000 best=0.566688s eval=21470 elapsed=549.2s
ham-rs perm_thr 25500/100000 best=0.566688s eval=21470 elapsed=554.6s
ham-rs perm_thr 25750/100000 best=0.566688s eval=21470 elapsed=560.1s
