2026-07-19T13:39:48+00:00 START ham-random-perm_int cpu=2 attempt=1
ham-rs perm_int 20500/100000 best=0.359489s eval=16756 elapsed=449.6s
ham-rs perm_int 20750/100000 best=0.359489s eval=16756 elapsed=455.1s
ham-rs perm_int 21000/100000 best=0.359489s eval=16756 elapsed=460.5s
ham-rs perm_int 21250/100000 best=0.510978s eval=21034 elapsed=466.2s
ham-rs perm_int 21500/100000 best=0.510978s eval=21034 elapsed=471.9s
ham-rs perm_int 21750/100000 best=0.510978s eval=21034 elapsed=477.3s
ham-rs perm_int 22000/100000 best=0.510978s eval=21034 elapsed=482.7s
ham-rs perm_int 22250/100000 best=0.510978s eval=21034 elapsed=488.4s
ham-rs perm_int 22500/100000 best=0.510978s eval=21034 elapsed=494.0s
ham-rs perm_int 22750/100000 best=0.510978s eval=21034 elapsed=499.3s
ham-rs perm_int 23000/100000 best=0.510978s eval=21034 elapsed=504.7s
ham-rs perm_int 23250/100000 best=0.510978s eval=21034 elapsed=510.0s
ham-rs perm_int 23500/100000 best=0.510978s eval=21034 elapsed=515.8s
ham-rs perm_int 23750/100000 best=0.510978s eval=21034 elapsed=521.4s
ham-rs perm_int 24000/100000 best=0.510978s eval=21034 elapsed=526.9s
ham-rs perm_int 24250/100000 best=0.510978s eval=21034 elapsed=532.6s
ham-rs perm_int 24500/100000 best=0.510978s eval=21034 elapsed=538.1s
ham-rs perm_int 24750/100000 best=0.510978s eval=21034 elapsed=543.6s
ham-rs perm_int 25000/100000 best=0.510978s eval=21034 elapsed=549.0s
ham-rs perm_int 25250/100000 best=0.510978s eval=21034 elapsed=554.5s
ham-rs perm_int 25500/100000 best=0.510978s eval=21034 elapsed=560.0s
ham-rs perm_int 25750/100000 best=0.510978s eval=21034 elapsed=565.5s
ham-rs perm_int 26000/100000 best=0.510978s eval=21034 elapsed=571.2s
ham-rs perm_int 26250/100000 best=0.510978s eval=21034 elapsed=576.7s
ham-rs perm_int 26500/100000 best=0.510978s eval=21034 elapsed=582.4s
ham-rs perm_int 26750/100000 best=0.510978s eval=21034 elapsed=588.0s
ham-rs perm_int 27000/100000 best=0.510978s eval=21034 elapsed=593.5s
ham-rs perm_int 27250/100000 best=0.510978s eval=21034 elapsed=599.2s
ham-rs perm_int 27500/100000 best=0.510978s eval=21034 elapsed=605.0s
ham-rs perm_int 27750/100000 best=0.510978s eval=21034 elapsed=610.3s
ham-rs perm_int 28000/100000 best=0.510978s eval=21034 elapsed=615.9s
ham-rs perm_int 28250/100000 best=0.510978s eval=21034 elapsed=621.2s
ham-rs perm_int 28500/100000 best=0.510978s eval=21034 elapsed=626.5s
ham-rs perm_int 28750/100000 best=0.510978s eval=21034 elapsed=631.7s
ham-rs perm_int 29000/100000 best=0.510978s eval=21034 elapsed=637.3s
ham-rs perm_int 29250/100000 best=0.510978s eval=21034 elapsed=642.7s
ham-rs perm_int 29500/100000 best=0.510978s eval=21034 elapsed=648.0s
ham-rs perm_int 29750/100000 best=0.510978s eval=21034 elapsed=653.4s
ham-rs perm_int 30000/100000 best=0.510978s eval=21034 elapsed=659.1s
ham-rs perm_int 30250/100000 best=0.510978s eval=21034 elapsed=664.7s
ham-rs perm_int 30500/100000 best=0.510978s eval=21034 elapsed=670.4s
ham-rs perm_int 30750/100000 best=0.510978s eval=21034 elapsed=675.7s
ham-rs perm_int 31000/100000 best=0.510978s eval=21034 elapsed=681.2s
ham-rs perm_int 31250/100000 best=0.510978s eval=21034 elapsed=686.6s
ham-rs perm_int 31500/100000 best=0.510978s eval=21034 elapsed=692.1s
ham-rs perm_int 31750/100000 best=0.510978s eval=21034 elapsed=697.4s
ham-rs perm_int 32000/100000 best=0.510978s eval=21034 elapsed=703.1s
ham-rs perm_int 32250/100000 best=0.510978s eval=21034 elapsed=708.8s
ham-rs perm_int 32500/100000 best=0.510978s eval=21034 elapsed=714.2s
ham-rs perm_int 32750/100000 best=0.510978s eval=21034 elapsed=719.8s
ham-rs perm_int 33000/100000 best=0.510978s eval=21034 elapsed=725.4s
ham-rs perm_int 33250/100000 best=0.510978s eval=21034 elapsed=730.6s
ham-rs perm_int 33500/100000 best=0.510978s eval=21034 elapsed=736.3s
ham-rs perm_int 33750/100000 best=0.510978s eval=21034 elapsed=741.7s
ham-rs perm_int 34000/100000 best=0.510978s eval=21034 elapsed=747.4s
ham-rs perm_int 34250/100000 best=0.510978s eval=21034 elapsed=752.9s
ham-rs perm_int 34500/100000 best=0.510978s eval=21034 elapsed=758.6s
ham-rs perm_int 34750/100000 best=0.510978s eval=21034 elapsed=764.0s
ham-rs perm_int 35000/100000 best=0.510978s eval=21034 elapsed=769.6s
ham-rs perm_int 35250/100000 best=0.510978s eval=21034 elapsed=775.3s
ham-rs perm_int 35500/100000 best=0.510978s eval=21034 elapsed=781.1s
ham-rs perm_int 35750/100000 best=0.510978s eval=21034 elapsed=787.0s
ham-rs perm_int 36000/100000 best=0.510978s eval=21034 elapsed=792.7s
ham-rs perm_int 36250/100000 best=0.510978s eval=21034 elapsed=798.3s
ham-rs perm_int 36500/100000 best=0.510978s eval=21034 elapsed=803.8s
ham-rs perm_int 36750/100000 best=0.510978s eval=21034 elapsed=809.1s
ham-rs perm_int 37000/100000 best=0.510978s eval=21034 elapsed=814.3s
ham-rs perm_int 37250/100000 best=0.510978s eval=21034 elapsed=820.0s
ham-rs perm_int 37500/100000 best=0.510978s eval=21034 elapsed=825.4s
ham-rs perm_int 37750/100000 best=0.510978s eval=21034 elapsed=831.0s
ham-rs perm_int 38000/100000 best=0.510978s eval=21034 elapsed=836.6s
ham-rs perm_int 38250/100000 best=0.510978s eval=21034 elapsed=841.9s
ham-rs perm_int 38500/100000 best=0.510978s eval=21034 elapsed=847.5s
ham-rs perm_int 38750/100000 best=0.510978s eval=21034 elapsed=853.3s
ham-rs perm_int 39000/100000 best=0.510978s eval=21034 elapsed=858.9s
ham-rs perm_int 39250/100000 best=0.510978s eval=21034 elapsed=864.5s
ham-rs perm_int 39500/100000 best=0.510978s eval=21034 elapsed=869.8s
