2026-07-19T13:39:48+00:00 START ham-random-trivial cpu=1 attempt=1
ham-rs trivial 21000/100000 best=0.380163s eval=12315 elapsed=522.4s
ham-rs trivial 21250/100000 best=0.380163s eval=12315 elapsed=528.5s
ham-rs trivial 21500/100000 best=0.380163s eval=12315 elapsed=534.7s
ham-rs trivial 21750/100000 best=0.380163s eval=12315 elapsed=540.9s
ham-rs trivial 22000/100000 best=0.380163s eval=12315 elapsed=547.1s
ham-rs trivial 22250/100000 best=0.380163s eval=12315 elapsed=553.3s
ham-rs trivial 22500/100000 best=0.380163s eval=12315 elapsed=559.5s
ham-rs trivial 22750/100000 best=0.380163s eval=12315 elapsed=566.0s
ham-rs trivial 23000/100000 best=0.380163s eval=12315 elapsed=572.2s
ham-rs trivial 23250/100000 best=0.380163s eval=12315 elapsed=578.4s
ham-rs trivial 23500/100000 best=0.380163s eval=12315 elapsed=584.7s
ham-rs trivial 23750/100000 best=0.380163s eval=12315 elapsed=590.8s
ham-rs trivial 24000/100000 best=0.380163s eval=12315 elapsed=597.1s
ham-rs trivial 24250/100000 best=0.380163s eval=12315 elapsed=603.2s
ham-rs trivial 24500/100000 best=0.380163s eval=12315 elapsed=609.4s
ham-rs trivial 24750/100000 best=0.380163s eval=12315 elapsed=615.7s
ham-rs trivial 25000/100000 best=0.380163s eval=12315 elapsed=622.0s
ham-rs trivial 25250/100000 best=0.380163s eval=12315 elapsed=628.4s
ham-rs trivial 25500/100000 best=0.380163s eval=12315 elapsed=634.6s
ham-rs trivial 25750/100000 best=0.380163s eval=12315 elapsed=640.9s
ham-rs trivial 26000/100000 best=0.380163s eval=12315 elapsed=647.1s
ham-rs trivial 26250/100000 best=0.380163s eval=12315 elapsed=653.3s
ham-rs trivial 26500/100000 best=0.380163s eval=12315 elapsed=659.5s
ham-rs trivial 26750/100000 best=0.380163s eval=12315 elapsed=665.7s
ham-rs trivial 27000/100000 best=0.380163s eval=12315 elapsed=671.9s
ham-rs trivial 27250/100000 best=0.380163s eval=12315 elapsed=678.2s
ham-rs trivial 27500/100000 best=0.380163s eval=12315 elapsed=684.4s
ham-rs trivial 27750/100000 best=0.380163s eval=12315 elapsed=690.6s
ham-rs trivial 28000/100000 best=0.380163s eval=12315 elapsed=696.8s
ham-rs trivial 28250/100000 best=0.380163s eval=12315 elapsed=703.0s
ham-rs trivial 28500/100000 best=0.380163s eval=12315 elapsed=709.2s
ham-rs trivial 28750/100000 best=0.380163s eval=12315 elapsed=715.4s
ham-rs trivial 29000/100000 best=0.380163s eval=12315 elapsed=721.5s
ham-rs trivial 29250/100000 best=0.380163s eval=12315 elapsed=727.6s
ham-rs trivial 29500/100000 best=0.380163s eval=12315 elapsed=733.8s
ham-rs trivial 29750/100000 best=0.380163s eval=12315 elapsed=740.1s
ham-rs trivial 30000/100000 best=0.380163s eval=12315 elapsed=746.3s
ham-rs trivial 30250/100000 best=0.380163s eval=12315 elapsed=752.6s
ham-rs trivial 30500/100000 best=0.380163s eval=12315 elapsed=759.0s
ham-rs trivial 30750/100000 best=0.380163s eval=12315 elapsed=765.4s
ham-rs trivial 31000/100000 best=0.380163s eval=12315 elapsed=771.7s
ham-rs trivial 31250/100000 best=0.380163s eval=12315 elapsed=778.0s
ham-rs trivial 31500/100000 best=0.380163s eval=12315 elapsed=784.4s
ham-rs trivial 31750/100000 best=0.380163s eval=12315 elapsed=790.8s
ham-rs trivial 32000/100000 best=0.380163s eval=12315 elapsed=797.0s
ham-rs trivial 32250/100000 best=0.380163s eval=12315 elapsed=803.3s
ham-rs trivial 32500/100000 best=0.380163s eval=12315 elapsed=809.6s
ham-rs trivial 32750/100000 best=0.380163s eval=12315 elapsed=816.0s
ham-rs trivial 33000/100000 best=0.380163s eval=12315 elapsed=822.3s
ham-rs trivial 33250/100000 best=0.380163s eval=12315 elapsed=828.6s
ham-rs trivial 33500/100000 best=0.380163s eval=12315 elapsed=834.9s
ham-rs trivial 33750/100000 best=0.380163s eval=12315 elapsed=841.2s
ham-rs trivial 34000/100000 best=0.380163s eval=12315 elapsed=847.5s
ham-rs trivial 34250/100000 best=0.380163s eval=12315 elapsed=853.8s
ham-rs trivial 34500/100000 best=0.380163s eval=12315 elapsed=860.1s
ham-rs trivial 34750/100000 best=0.380163s eval=12315 elapsed=866.4s
ham-rs trivial 35000/100000 best=0.380163s eval=12315 elapsed=872.6s
ham-rs trivial 35250/100000 best=0.380163s eval=12315 elapsed=878.9s
ham-rs trivial 35500/100000 best=0.380163s eval=12315 elapsed=885.1s
ham-rs trivial 35750/100000 best=0.380163s eval=12315 elapsed=891.5s
ham-rs trivial 36000/100000 best=0.380163s eval=12315 elapsed=897.7s
ham-rs trivial 36250/100000 best=0.380163s eval=12315 elapsed=904.0s
ham-rs trivial 36500/100000 best=0.380163s eval=12315 elapsed=910.2s
ham-rs trivial 36750/100000 best=0.380163s eval=12315 elapsed=916.6s
ham-rs trivial 37000/100000 best=0.380163s eval=12315 elapsed=922.9s
ham-rs trivial 37250/100000 best=0.380163s eval=12315 elapsed=929.3s
ham-rs trivial 37500/100000 best=0.380163s eval=12315 elapsed=935.6s
ham-rs trivial 37750/100000 best=0.380163s eval=12315 elapsed=941.8s
ham-rs trivial 38000/100000 best=0.380163s eval=12315 elapsed=948.1s
ham-rs trivial 38250/100000 best=0.380163s eval=12315 elapsed=954.6s
ham-rs trivial 38500/100000 best=0.380163s eval=12315 elapsed=960.9s
ham-rs trivial 38750/100000 best=0.380163s eval=12315 elapsed=967.3s
ham-rs trivial 39000/100000 best=0.380163s eval=12315 elapsed=973.7s
ham-rs trivial 39250/100000 best=0.380163s eval=12315 elapsed=980.0s
ham-rs trivial 39500/100000 best=0.380163s eval=12315 elapsed=986.3s
ham-rs trivial 39750/100000 best=0.380163s eval=12315 elapsed=992.6s
ham-rs trivial 40000/100000 best=0.380163s eval=12315 elapsed=999.0s
ham-rs trivial 40250/100000 best=0.380163s eval=12315 elapsed=1005.3s
ham-rs trivial 40500/100000 best=0.380163s eval=12315 elapsed=1011.6s
ham-rs trivial 40750/100000 best=0.380163s eval=12315 elapsed=1017.8s
ham-rs trivial 41000/100000 best=0.380163s eval=12315 elapsed=1024.0s
ham-rs trivial 41250/100000 best=0.380163s eval=12315 elapsed=1030.4s
ham-rs trivial 41500/100000 best=0.380163s eval=12315 elapsed=1037.0s
ham-rs trivial 41750/100000 best=0.380163s eval=12315 elapsed=1043.2s
ham-rs trivial 42000/100000 best=0.380163s eval=12315 elapsed=1049.5s
ham-rs trivial 42250/100000 best=0.380163s eval=12315 elapsed=1055.7s
ham-rs trivial 42500/100000 best=0.380163s eval=12315 elapsed=1061.9s
ham-rs trivial 42750/100000 best=0.380163s eval=12315 elapsed=1068.4s
ham-rs trivial 43000/100000 best=0.380163s eval=12315 elapsed=1074.6s
ham-rs trivial 43250/100000 best=0.380163s eval=12315 elapsed=1081.0s
ham-rs trivial 43500/100000 best=0.380163s eval=12315 elapsed=1087.3s
ham-rs trivial 43750/100000 best=0.380163s eval=12315 elapsed=1093.6s
ham-rs trivial 44000/100000 best=0.380163s eval=12315 elapsed=1099.8s
ham-rs trivial 44250/100000 best=0.380163s eval=12315 elapsed=1106.3s
ham-rs trivial 44500/100000 best=0.380163s eval=12315 elapsed=1112.6s
ham-rs trivial 44750/100000 best=0.380163s eval=12315 elapsed=1119.0s
ham-rs trivial 45000/100000 best=0.380163s eval=12315 elapsed=1125.2s
ham-rs trivial 45250/100000 best=0.380163s eval=12315 elapsed=1131.4s
ham-rs trivial 45500/100000 best=0.380163s eval=12315 elapsed=1137.7s
ham-rs trivial 45750/100000 best=0.380163s eval=12315 elapsed=1143.9s
ham-rs trivial 46000/100000 best=0.380163s eval=12315 elapsed=1150.3s
ham-rs trivial 46250/100000 best=0.380163s eval=12315 elapsed=1156.6s
ham-rs trivial 46500/100000 best=0.380163s eval=12315 elapsed=1163.0s
ham-rs trivial 46750/100000 best=0.380163s eval=12315 elapsed=1169.2s
ham-rs trivial 47000/100000 best=0.380163s eval=12315 elapsed=1175.4s
ham-rs trivial 47250/100000 best=0.380163s eval=12315 elapsed=1181.7s
ham-rs trivial 47500/100000 best=0.380163s eval=12315 elapsed=1188.0s
ham-rs trivial 47750/100000 best=0.380163s eval=12315 elapsed=1194.3s
ham-rs trivial 48000/100000 best=0.380163s eval=12315 elapsed=1201.5s
ham-rs trivial 48250/100000 best=0.380163s eval=12315 elapsed=1210.2s
ham-rs trivial 48500/100000 best=0.380163s eval=12315 elapsed=1218.8s
ham-rs trivial 48750/100000 best=0.380163s eval=12315 elapsed=1227.9s
ham-rs trivial 49000/100000 best=0.380163s eval=12315 elapsed=1236.8s
ham-rs trivial 49250/100000 best=0.380163s eval=12315 elapsed=1245.4s
ham-rs trivial 49500/100000 best=0.380163s eval=12315 elapsed=1254.3s
ham-rs trivial 49750/100000 best=0.380163s eval=12315 elapsed=1262.9s
ham-rs trivial 50000/100000 best=0.380163s eval=12315 elapsed=1271.2s
ham-rs trivial 50250/100000 best=0.380163s eval=12315 elapsed=1278.1s
ham-rs trivial 50500/100000 best=0.380163s eval=12315 elapsed=1284.6s
