2026-07-19T10:28:51+00:00 START npfs8-control cpu=1 attempt=1
npfs8 9400/100000 best=0.558534s eval=8927 elapsed=383.8s
npfs8 9500/100000 best=0.558534s eval=8927 elapsed=387.6s
npfs8 9600/100000 best=0.558534s eval=8927 elapsed=391.6s
npfs8 9700/100000 best=0.558534s eval=8927 elapsed=395.7s
npfs8 9800/100000 best=0.558534s eval=8927 elapsed=399.9s
npfs8 9900/100000 best=0.558534s eval=8927 elapsed=403.7s
npfs8 10000/100000 best=0.558534s eval=8927 elapsed=407.5s
npfs8 10100/100000 best=0.558534s eval=8927 elapsed=411.8s
npfs8 10200/100000 best=0.558534s eval=8927 elapsed=416.3s
npfs8 10300/100000 best=0.558534s eval=8927 elapsed=421.0s
npfs8 10400/100000 best=0.558534s eval=8927 elapsed=424.6s
npfs8 10500/100000 best=0.558534s eval=8927 elapsed=428.8s
npfs8 10600/100000 best=0.558534s eval=8927 elapsed=433.6s
npfs8 10700/100000 best=0.558534s eval=8927 elapsed=437.5s
npfs8 10800/100000 best=0.558534s eval=8927 elapsed=441.9s
npfs8 10900/100000 best=0.558534s eval=8927 elapsed=446.3s
npfs8 11000/100000 best=0.558534s eval=8927 elapsed=451.0s
npfs8 11100/100000 best=0.558534s eval=8927 elapsed=454.9s
npfs8 11200/100000 best=0.558534s eval=8927 elapsed=458.8s
npfs8 11300/100000 best=0.558534s eval=8927 elapsed=462.4s
npfs8 11400/100000 best=0.558534s eval=8927 elapsed=466.6s
npfs8 11500/100000 best=0.558534s eval=8927 elapsed=471.5s
npfs8 11600/100000 best=0.558534s eval=8927 elapsed=475.2s
npfs8 11700/100000 best=0.558534s eval=8927 elapsed=478.7s
npfs8 11800/100000 best=0.558534s eval=8927 elapsed=482.7s
npfs8 11900/100000 best=0.558534s eval=8927 elapsed=487.3s
npfs8 12000/100000 best=0.558534s eval=8927 elapsed=491.1s
npfs8 12100/100000 best=0.558534s eval=8927 elapsed=494.9s
npfs8 12200/100000 best=0.558534s eval=8927 elapsed=499.9s
npfs8 12300/100000 best=0.558534s eval=8927 elapsed=504.3s
npfs8 12400/100000 best=0.558534s eval=8927 elapsed=508.2s
npfs8 12500/100000 best=0.558534s eval=8927 elapsed=513.4s
npfs8 12600/100000 best=0.558534s eval=8927 elapsed=517.4s
npfs8 12700/100000 best=0.558534s eval=8927 elapsed=521.3s
npfs8 12800/100000 best=0.558534s eval=8927 elapsed=524.7s
npfs8 12900/100000 best=0.558534s eval=8927 elapsed=528.6s
npfs8 13000/100000 best=0.558534s eval=8927 elapsed=532.9s
npfs8 13100/100000 best=0.558534s eval=8927 elapsed=535.9s
npfs8 13200/100000 best=0.558534s eval=8927 elapsed=539.5s
npfs8 13300/100000 best=0.558534s eval=8927 elapsed=544.7s
npfs8 13400/100000 best=0.558534s eval=8927 elapsed=548.4s
npfs8 13500/100000 best=0.558534s eval=8927 elapsed=552.2s
npfs8 13600/100000 best=0.558534s eval=8927 elapsed=555.6s
npfs8 13700/100000 best=0.558534s eval=8927 elapsed=559.3s
npfs8 13800/100000 best=0.558534s eval=8927 elapsed=564.3s
npfs8 13900/100000 best=0.558534s eval=8927 elapsed=568.1s
npfs8 14000/100000 best=0.558534s eval=8927 elapsed=572.2s
npfs8 14100/100000 best=0.558534s eval=8927 elapsed=575.5s
npfs8 14200/100000 best=0.558534s eval=8927 elapsed=579.5s
npfs8 14300/100000 best=0.558534s eval=8927 elapsed=583.5s
npfs8 14400/100000 best=0.558534s eval=8927 elapsed=587.2s
npfs8 14500/100000 best=0.558534s eval=8927 elapsed=590.5s
npfs8 14600/100000 best=0.558534s eval=8927 elapsed=594.8s
npfs8 14700/100000 best=0.558534s eval=8927 elapsed=598.2s
npfs8 14800/100000 best=0.558534s eval=8927 elapsed=602.5s
npfs8 14900/100000 best=0.558534s eval=8927 elapsed=605.7s
npfs8 15000/100000 best=0.558534s eval=8927 elapsed=610.2s
npfs8 15100/100000 best=0.558534s eval=8927 elapsed=614.0s
npfs8 15200/100000 best=0.558534s eval=8927 elapsed=618.3s
npfs8 15300/100000 best=0.558534s eval=8927 elapsed=622.5s
npfs8 15400/100000 best=0.558534s eval=8927 elapsed=627.0s
npfs8 15500/100000 best=0.558534s eval=8927 elapsed=631.1s
npfs8 15600/100000 best=0.558534s eval=8927 elapsed=635.2s
npfs8 15700/100000 best=0.558534s eval=8927 elapsed=639.4s
npfs8 15800/100000 best=0.558534s eval=8927 elapsed=643.2s
npfs8 15900/100000 best=0.558534s eval=8927 elapsed=647.6s
npfs8 16000/100000 best=0.558534s eval=8927 elapsed=651.5s
npfs8 16100/100000 best=0.558534s eval=8927 elapsed=655.2s
npfs8 16200/100000 best=0.558534s eval=8927 elapsed=659.0s
npfs8 16300/100000 best=0.558534s eval=8927 elapsed=662.6s
npfs8 16400/100000 best=0.558534s eval=8927 elapsed=665.9s
npfs8 16500/100000 best=0.558534s eval=8927 elapsed=670.0s
npfs8 16600/100000 best=0.558534s eval=8927 elapsed=673.8s
npfs8 16700/100000 best=0.558534s eval=8927 elapsed=677.5s
npfs8 16800/100000 best=0.558534s eval=8927 elapsed=680.9s
npfs8 16900/100000 best=0.558534s eval=8927 elapsed=685.0s
npfs8 17000/100000 best=0.558534s eval=8927 elapsed=689.4s
npfs8 17100/100000 best=0.558534s eval=8927 elapsed=693.6s
npfs8 17200/100000 best=0.558534s eval=8927 elapsed=697.9s
npfs8 17300/100000 best=0.558534s eval=8927 elapsed=702.6s
npfs8 17400/100000 best=0.558534s eval=8927 elapsed=706.9s
npfs8 17500/100000 best=0.558534s eval=8927 elapsed=710.5s
npfs8 17600/100000 best=0.558534s eval=8927 elapsed=715.1s
npfs8 17700/100000 best=0.558534s eval=8927 elapsed=718.3s
npfs8 17800/100000 best=0.558534s eval=8927 elapsed=722.7s
npfs8 17900/100000 best=0.558534s eval=8927 elapsed=726.6s
npfs8 18000/100000 best=0.558534s eval=8927 elapsed=730.7s
npfs8 18100/100000 best=0.558534s eval=8927 elapsed=734.5s
npfs8 18200/100000 best=0.558534s eval=8927 elapsed=738.1s
npfs8 18300/100000 best=0.558534s eval=8927 elapsed=742.4s
npfs8 18400/100000 best=0.558534s eval=8927 elapsed=746.7s
npfs8 18500/100000 best=0.558534s eval=8927 elapsed=750.3s
npfs8 18600/100000 best=0.558534s eval=8927 elapsed=754.5s
npfs8 18700/100000 best=0.558534s eval=8927 elapsed=758.6s
npfs8 18800/100000 best=0.558534s eval=8927 elapsed=762.2s
npfs8 18900/100000 best=0.558534s eval=8927 elapsed=766.6s
npfs8 19000/100000 best=0.558534s eval=8927 elapsed=770.8s
npfs8 19100/100000 best=0.558534s eval=8927 elapsed=775.1s
npfs8 19200/100000 best=0.558534s eval=8927 elapsed=779.1s
npfs8 19300/100000 best=0.558534s eval=8927 elapsed=783.0s
npfs8 19400/100000 best=0.558534s eval=8927 elapsed=787.2s
npfs8 19500/100000 best=0.558534s eval=8927 elapsed=791.8s
npfs8 19600/100000 best=0.558534s eval=8927 elapsed=795.3s
npfs8 19700/100000 best=0.558534s eval=8927 elapsed=799.4s
npfs8 19800/100000 best=0.558534s eval=8927 elapsed=803.6s
npfs8 19900/100000 best=0.558534s eval=8927 elapsed=807.3s
npfs8 20000/100000 best=0.558534s eval=8927 elapsed=811.4s
npfs8 20100/100000 best=0.558534s eval=8927 elapsed=815.0s
npfs8 20200/100000 best=0.558534s eval=8927 elapsed=818.6s
npfs8 20300/100000 best=0.558534s eval=8927 elapsed=822.5s
npfs8 20400/100000 best=0.558534s eval=8927 elapsed=826.5s
npfs8 20500/100000 best=0.558534s eval=8927 elapsed=830.3s
npfs8 20600/100000 best=0.558534s eval=8927 elapsed=834.4s
npfs8 20700/100000 best=0.558534s eval=8927 elapsed=838.3s
npfs8 20800/100000 best=0.558534s eval=8927 elapsed=842.4s
npfs8 20900/100000 best=0.558534s eval=8927 elapsed=846.6s
npfs8 21000/100000 best=0.558534s eval=8927 elapsed=850.7s
npfs8 21100/100000 best=0.558534s eval=8927 elapsed=855.1s
npfs8 21200/100000 best=0.558534s eval=8927 elapsed=859.4s
npfs8 21300/100000 best=0.558534s eval=8927 elapsed=863.0s
npfs8 21400/100000 best=0.558534s eval=8927 elapsed=866.4s
npfs8 21500/100000 best=0.558534s eval=8927 elapsed=870.7s
npfs8 21600/100000 best=0.558534s eval=8927 elapsed=874.3s
npfs8 21700/100000 best=0.558534s eval=8927 elapsed=878.4s
npfs8 21800/100000 best=0.558534s eval=8927 elapsed=881.3s
npfs8 21900/100000 best=0.558534s eval=8927 elapsed=885.5s
npfs8 22000/100000 best=0.558534s eval=8927 elapsed=889.7s
npfs8 22100/100000 best=0.558534s eval=8927 elapsed=893.5s
npfs8 22200/100000 best=0.558534s eval=8927 elapsed=897.8s
npfs8 22300/100000 best=0.558534s eval=8927 elapsed=901.7s
npfs8 22400/100000 best=0.558534s eval=8927 elapsed=905.8s
npfs8 22500/100000 best=0.558534s eval=8927 elapsed=909.8s
npfs8 22600/100000 best=0.558534s eval=8927 elapsed=914.6s
npfs8 22700/100000 best=0.558534s eval=8927 elapsed=918.3s
npfs8 22800/100000 best=0.558534s eval=8927 elapsed=921.9s
npfs8 22900/100000 best=0.558534s eval=8927 elapsed=926.1s
npfs8 23000/100000 best=0.558534s eval=8927 elapsed=930.3s
npfs8 23100/100000 best=0.558534s eval=8927 elapsed=933.8s
npfs8 23200/100000 best=0.558534s eval=8927 elapsed=938.0s
npfs8 23300/100000 best=0.558534s eval=8927 elapsed=942.2s
npfs8 23400/100000 best=0.558534s eval=8927 elapsed=945.8s
npfs8 23500/100000 best=0.558534s eval=8927 elapsed=950.5s
npfs8 23600/100000 best=0.558534s eval=8927 elapsed=955.2s
npfs8 23700/100000 best=0.558534s eval=8927 elapsed=959.2s
npfs8 23800/100000 best=0.558534s eval=8927 elapsed=962.8s
npfs8 23900/100000 best=0.558534s eval=8927 elapsed=967.5s
npfs8 24000/100000 best=0.558534s eval=8927 elapsed=971.5s
npfs8 24100/100000 best=0.558534s eval=8927 elapsed=975.5s
npfs8 24200/100000 best=0.558534s eval=8927 elapsed=978.3s
npfs8 24300/100000 best=0.558534s eval=8927 elapsed=982.6s
npfs8 24400/100000 best=0.558534s eval=8927 elapsed=986.1s
npfs8 24500/100000 best=0.558534s eval=8927 elapsed=990.4s
npfs8 24600/100000 best=0.573758s eval=24526 elapsed=995.3s
npfs8 24700/100000 best=0.573758s eval=24526 elapsed=1000.3s
npfs8 24800/100000 best=0.573758s eval=24526 elapsed=1003.9s
npfs8 24900/100000 best=0.573758s eval=24526 elapsed=1007.3s
npfs8 25000/100000 best=0.573758s eval=24526 elapsed=1010.6s
npfs8 25100/100000 best=0.573758s eval=24526 elapsed=1014.5s
npfs8 25200/100000 best=0.573758s eval=24526 elapsed=1018.4s
npfs8 25300/100000 best=0.573758s eval=24526 elapsed=1022.6s
npfs8 25400/100000 best=0.573758s eval=24526 elapsed=1026.8s
npfs8 25500/100000 best=0.573758s eval=24526 elapsed=1030.7s
npfs8 25600/100000 best=0.573758s eval=24526 elapsed=1034.3s
npfs8 25700/100000 best=0.573758s eval=24526 elapsed=1038.4s
npfs8 25800/100000 best=0.573758s eval=24526 elapsed=1042.7s
npfs8 25900/100000 best=0.573758s eval=24526 elapsed=1046.8s
npfs8 26000/100000 best=0.573758s eval=24526 elapsed=1050.9s
npfs8 26100/100000 best=0.573758s eval=24526 elapsed=1054.6s
npfs8 26200/100000 best=0.573758s eval=24526 elapsed=1058.8s
npfs8 26300/100000 best=0.573758s eval=24526 elapsed=1063.2s
npfs8 26400/100000 best=0.573758s eval=24526 elapsed=1067.6s
npfs8 26500/100000 best=0.573758s eval=24526 elapsed=1071.6s
npfs8 26600/100000 best=0.573758s eval=24526 elapsed=1075.1s
npfs8 26700/100000 best=0.573758s eval=24526 elapsed=1079.8s
npfs8 26800/100000 best=0.573758s eval=24526 elapsed=1083.0s
npfs8 26900/100000 best=0.573758s eval=24526 elapsed=1087.5s
npfs8 27000/100000 best=0.573758s eval=24526 elapsed=1091.8s
npfs8 27100/100000 best=0.573758s eval=24526 elapsed=1095.9s
npfs8 27200/100000 best=0.573758s eval=24526 elapsed=1100.2s
