tsp-rs shard=7 evaluated=3300 next=26400/100000 best=0.335089s eval=12855 elapsed=365.1s
tsp-rs shard=7 evaluated=3350 next=26800/100000 best=0.335089s eval=12855 elapsed=374.2s
tsp-rs shard=7 evaluated=3400 next=27200/100000 best=0.335089s eval=12855 elapsed=379.5s
tsp-rs shard=7 evaluated=3450 next=27600/100000 best=0.335089s eval=12855 elapsed=385.0s
tsp-rs shard=7 evaluated=3500 next=28000/100000 best=0.335089s eval=12855 elapsed=391.2s
tsp-rs shard=7 evaluated=3550 next=28400/100000 best=0.335089s eval=12855 elapsed=394.9s
tsp-rs shard=7 evaluated=3600 next=28800/100000 best=0.335089s eval=12855 elapsed=405.4s
tsp-rs shard=7 evaluated=3650 next=29200/100000 best=0.335089s eval=12855 elapsed=409.3s
tsp-rs shard=7 evaluated=3700 next=29600/100000 best=0.335089s eval=12855 elapsed=414.8s
tsp-rs shard=7 evaluated=3750 next=30000/100000 best=0.335089s eval=12855 elapsed=419.0s
tsp-rs shard=7 evaluated=3800 next=30400/100000 best=0.335089s eval=12855 elapsed=427.4s
tsp-rs shard=7 evaluated=3850 next=30800/100000 best=0.335089s eval=12855 elapsed=434.0s
tsp-rs shard=7 evaluated=3900 next=31200/100000 best=0.335089s eval=12855 elapsed=437.7s
tsp-rs shard=7 evaluated=3950 next=31600/100000 best=0.335089s eval=12855 elapsed=442.6s
tsp-rs shard=7 evaluated=4000 next=32000/100000 best=0.335089s eval=12855 elapsed=447.1s
tsp-rs shard=7 evaluated=4050 next=32400/100000 best=0.335089s eval=12855 elapsed=451.8s
tsp-rs shard=7 evaluated=4100 next=32800/100000 best=0.335089s eval=12855 elapsed=457.6s
tsp-rs shard=7 evaluated=4150 next=33200/100000 best=0.335089s eval=12855 elapsed=465.8s
tsp-rs shard=7 evaluated=4200 next=33600/100000 best=0.335089s eval=12855 elapsed=470.1s
tsp-rs shard=7 evaluated=4250 next=34000/100000 best=0.335089s eval=12855 elapsed=477.1s
tsp-rs shard=7 evaluated=4300 next=34400/100000 best=0.335089s eval=12855 elapsed=481.4s
tsp-rs shard=7 evaluated=4350 next=34800/100000 best=0.335089s eval=12855 elapsed=486.3s
tsp-rs shard=7 evaluated=4400 next=35200/100000 best=0.335089s eval=12855 elapsed=489.8s
tsp-rs shard=7 evaluated=4450 next=35600/100000 best=0.335089s eval=12855 elapsed=494.8s
tsp-rs shard=7 evaluated=4500 next=36000/100000 best=0.335089s eval=12855 elapsed=498.7s
tsp-rs shard=7 evaluated=4550 next=36400/100000 best=0.335089s eval=12855 elapsed=503.4s
tsp-rs shard=7 evaluated=4600 next=36800/100000 best=0.335089s eval=12855 elapsed=507.6s
tsp-rs shard=7 evaluated=4650 next=37200/100000 best=0.335089s eval=12855 elapsed=517.1s
tsp-rs shard=7 evaluated=4700 next=37600/100000 best=0.335089s eval=12855 elapsed=521.0s
tsp-rs shard=7 evaluated=4750 next=38000/100000 best=0.335089s eval=12855 elapsed=532.1s
tsp-rs shard=7 evaluated=4800 next=38400/100000 best=0.335089s eval=12855 elapsed=535.4s
tsp-rs shard=7 evaluated=4850 next=38800/100000 best=0.335089s eval=12855 elapsed=539.1s
tsp-rs shard=7 evaluated=4900 next=39200/100000 best=0.335089s eval=12855 elapsed=543.5s
tsp-rs shard=7 evaluated=4950 next=39600/100000 best=0.335089s eval=12855 elapsed=547.3s
tsp-rs shard=7 evaluated=5000 next=40000/100000 best=0.335089s eval=12855 elapsed=551.0s
tsp-rs shard=7 evaluated=5050 next=40400/100000 best=0.335089s eval=12855 elapsed=557.9s
tsp-rs shard=7 evaluated=5100 next=40800/100000 best=0.335089s eval=12855 elapsed=562.3s
tsp-rs shard=7 evaluated=5150 next=41200/100000 best=0.335089s eval=12855 elapsed=571.9s
tsp-rs shard=7 evaluated=5200 next=41600/100000 best=0.335089s eval=12855 elapsed=578.0s
tsp-rs shard=7 evaluated=5250 next=42000/100000 best=0.335089s eval=12855 elapsed=584.1s
tsp-rs shard=7 evaluated=5300 next=42400/100000 best=0.335089s eval=12855 elapsed=589.1s
tsp-rs shard=7 evaluated=5350 next=42800/100000 best=0.335089s eval=12855 elapsed=593.3s
tsp-rs shard=7 evaluated=5400 next=43200/100000 best=0.335089s eval=12855 elapsed=598.9s
tsp-rs shard=7 evaluated=5450 next=43600/100000 best=0.335089s eval=12855 elapsed=608.1s
tsp-rs shard=7 evaluated=5500 next=44000/100000 best=0.335089s eval=12855 elapsed=613.5s
tsp-rs shard=7 evaluated=5550 next=44400/100000 best=0.439456s eval=44231 elapsed=627.8s
tsp-rs shard=7 evaluated=5600 next=44800/100000 best=0.439456s eval=44231 elapsed=631.5s
tsp-rs shard=7 evaluated=5650 next=45200/100000 best=0.439456s eval=44231 elapsed=635.3s
tsp-rs shard=7 evaluated=5700 next=45600/100000 best=0.439456s eval=44231 elapsed=643.9s
tsp-rs shard=7 evaluated=5750 next=46000/100000 best=0.439456s eval=44231 elapsed=648.6s
tsp-rs shard=7 evaluated=5800 next=46400/100000 best=0.439456s eval=44231 elapsed=653.6s
tsp-rs shard=7 evaluated=5850 next=46800/100000 best=0.439456s eval=44231 elapsed=657.9s
tsp-rs shard=7 evaluated=5900 next=47200/100000 best=0.439456s eval=44231 elapsed=667.2s
tsp-rs shard=7 evaluated=5950 next=47600/100000 best=0.439456s eval=44231 elapsed=675.2s
tsp-rs shard=7 evaluated=6000 next=48000/100000 best=0.439456s eval=44231 elapsed=685.2s
