1784478628,2151.454,3506.222,4840.970,4840.996,4841.003,4843.074,2151.538,4840.551,4840.966,4842.153,4840.513,4841.010,
1784478633,1926.157,4816.038,4816.036,4816.040,4816.050,2140.379,1925.886,1600.000,4815.902,4811.491,4798.204,1916.399,
1784478638,2021.931,4816.056,4816.041,4816.056,4816.060,1920.253,2002.238,4815.823,4816.196,1600.000,1600.000,2114.891,
1784478643,3837.858,4817.426,4817.427,4817.438,4817.436,2140.048,3255.462,4817.106,4838.343,4818.676,4813.117,2140.184,
1784478648,1936.276,4841.006,4841.000,4841.010,4841.011,1936.288,1935.678,4834.602,4799.618,4812.771,4838.244,1936.170,
1784478653,2150.668,4840.991,4841.015,4841.001,4840.996,1600.000,2129.214,1600.000,4840.784,4840.691,1600.000,1911.248,
1784478658,1600.000,4841.011,4841.000,4841.014,4841.005,1930.013,1600.000,4839.174,4838.688,4840.898,4849.547,1600.000,
1784478663,1936.380,4840.940,4840.943,4840.943,4840.953,1600.000,1600.000,1600.000,1600.000,4819.024,4835.787,1600.000,
1784478668,1934.790,4841.010,4841.000,4841.013,4841.014,1600.000,1600.000,2200.000,4842.472,4844.627,4836.833,1600.000,
1784478673,2003.959,4840.947,4840.940,4840.941,4840.936,1600.000,1932.998,4842.400,4839.552,4836.308,1600.000,1600.000,
1784478678,1935.692,4841.005,4841.004,4841.005,4841.009,1600.000,1933.874,4815.391,4839.252,1600.000,1600.000,1933.622,
1784478683,1934.164,4840.951,4840.940,4841.014,4840.980,1929.544,1935.790,4840.917,4840.962,4840.968,4828.590,1936.401,
1784478688,1936.275,4841.019,4841.015,4841.012,4840.995,1936.395,1936.309,4830.464,4840.574,4841.609,4841.003,1600.000,
1784478693,1936.140,4841.017,4841.007,4841.000,4840.987,1936.298,1972.727,1600.000,4840.861,1600.000,4835.061,1600.000,
1784478698,2008.517,4841.003,4841.005,4840.999,4840.993,1946.982,1996.842,1600.000,4841.801,1600.000,4841.092,1600.000,
1784478703,2290.680,4840.996,4841.003,4840.990,4840.989,1936.017,1600.000,4840.129,4840.870,4840.402,4840.491,1936.207,
1784478708,1936.102,4841.020,4841.015,4841.006,4841.012,1935.627,1934.139,4834.601,4839.613,4825.365,2200.000,1935.236,
1784478713,1600.000,4852.611,4852.608,4852.608,4852.599,1600.000,1600.000,4838.951,1600.000,4859.919,1600.000,2200.000,
1784478718,1938.814,4852.049,4852.069,4852.098,4852.060,1936.067,1600.000,1600.000,4840.464,4839.492,4848.924,1942.002,
1784478723,1935.732,4845.897,4845.905,4845.900,4845.908,1600.000,1600.000,1600.000,4844.287,1600.000,4862.541,1937.636,
1784478728,1944.871,4845.930,4845.937,4845.929,4845.941,1600.000,1944.215,4857.618,4850.381,1600.000,4851.558,1941.520,
1784478733,1876.564,4838.112,4838.099,4838.095,4838.099,1932.303,1933.469,4856.862,4859.480,4840.792,1600.000,1936.285,
1784478738,2137.135,4838.421,4838.405,4838.413,4838.410,1936.185,2137.204,4849.482,4841.965,4865.109,4833.054,1937.409,
1784478743,2132.988,4837.429,4837.434,4837.423,4837.434,1967.090,2151.781,1600.000,4850.687,4841.894,1600.000,2154.544,
1784478748,1938.574,4845.886,4845.888,4845.862,4845.874,1935.835,1970.045,4847.074,4765.737,4865.100,4838.631,1936.116,
1784478753,2156.705,4835.782,4835.802,4835.786,4835.789,1934.194,2086.138,1600.000,4841.727,4863.848,4736.751,1931.626,
1784478758,1937.035,4838.914,4838.913,4838.923,4838.907,1875.155,1936.024,1600.000,4857.519,1600.000,4842.418,1935.965,
1784478763,1940.102,4839.438,4839.449,4839.453,4839.443,1935.733,1936.446,2200.000,4844.866,1600.000,1600.000,1935.630,
1784478768,1943.061,4839.950,4839.952,4839.955,4839.953,1600.000,1600.000,4842.855,4842.699,4838.442,1600.000,1600.000,
1784478773,1936.104,4838.358,4838.363,4838.377,4838.375,1600.000,1600.000,1600.000,1600.000,1600.000,1600.000,1600.000,
1784478778,1941.407,4848.454,4848.459,4848.443,4848.451,1600.000,1944.000,4163.738,4844.126,1600.000,1600.000,1600.000,
1784478783,1938.453,4848.449,4848.444,4848.457,4848.454,1600.000,1600.000,4863.467,4858.779,1600.000,4841.803,1936.377,
1784478788,1936.608,4839.489,4839.488,4839.496,4839.479,1600.000,1600.000,4840.232,4841.016,4841.337,4840.414,1936.652,
1784478793,1943.573,4856.813,4856.818,4856.822,4856.814,1600.000,1600.000,4839.447,4864.624,1600.000,4862.113,1938.636,
1784478798,1940.083,4848.900,4848.888,4848.900,4848.890,1600.000,1936.110,1600.000,4863.686,4843.107,1600.000,1600.000,
1784478803,1935.266,4845.917,4845.924,4845.922,4845.924,1934.753,1600.000,4845.603,4841.310,1600.000,4844.006,1934.750,
1784478808,1936.997,4838.988,4838.986,4838.976,4838.981,1938.516,2150.787,4840.587,4838.933,4839.396,1600.000,1600.000,
1784478813,1939.718,4842.021,4842.038,4842.031,4842.029,2108.479,1600.000,4849.885,4866.233,4868.474,4848.822,1600.000,
1784478818,1945.567,4850.034,4850.035,4850.032,4850.030,2149.706,1944.357,4863.851,4865.601,4861.373,4862.423,2145.835,
1784478823,1941.586,4838.892,4838.887,4838.901,4838.886,1600.000,1600.000,1600.000,2200.000,4841.817,4842.965,1946.805,
1784478828,1935.428,4848.323,4848.323,4848.327,4848.309,1936.224,1946.075,1600.000,4838.748,1600.000,4865.510,1600.000,
1784478833,1939.375,4837.728,4837.721,4837.730,4837.741,1925.349,1922.887,4794.903,4767.500,4773.404,4830.653,1957.935,
