1784490040,2168.141,2165.979,4864.373,4864.376,4864.392,2164.725,2165.797,2161.325,4855.002,4880.733,4864.391,2154.892,
1784490045,1600.000,4865.936,4865.934,4865.929,4865.932,1600.000,1945.345,4864.695,4863.889,1600.000,1600.000,1942.424,
1784490050,2070.045,4865.911,4865.936,4865.933,4865.934,2161.660,2162.440,4865.918,4863.752,4865.449,4864.503,2142.761,
1784490055,2162.325,4856.261,4856.275,4856.269,4856.267,2760.863,2783.716,4865.168,4865.260,4864.728,4836.031,3806.696,
1784490060,4831.723,4847.558,4847.547,4847.552,4847.560,2154.104,4590.185,4840.797,4839.987,4835.502,4839.547,2161.669,
1784490065,2150.258,4848.341,4848.394,4848.411,4848.397,2153.003,1946.869,4806.526,4847.784,4844.632,4845.271,2152.606,
1784490070,2151.694,4847.819,4847.816,4847.814,4847.819,2153.304,1967.622,4864.046,4852.917,4841.126,4864.590,2151.993,
1784490075,2159.670,4848.409,4848.393,4848.404,4848.409,2065.523,2161.480,4855.622,4856.164,4861.285,4866.128,2036.068,
1784490080,2141.610,4856.343,4856.343,4856.353,4856.338,2160.292,2156.115,4863.383,4863.771,4845.759,4862.632,2160.710,
1784490085,2133.308,4849.366,4849.368,4849.363,4849.367,2159.247,1936.197,4863.458,4865.890,4840.700,4849.048,2156.049,
1784490090,2162.008,4848.392,4848.391,4848.386,4848.388,2146.101,2161.213,4845.701,4862.221,4864.256,4865.261,2161.564,
1784490095,2145.566,4825.400,4825.405,4825.425,4825.401,2073.565,2151.181,4816.207,4833.899,4750.492,4826.929,2266.727,
1784490100,1946.486,4858.645,4858.640,4858.640,4858.636,2019.383,1983.868,4865.507,4865.608,4857.270,4865.662,2073.880,
1784490105,2115.271,4843.874,4843.853,4843.870,4843.861,1938.815,1943.928,4843.958,4862.362,4857.245,4858.875,1936.686,
1784490110,2132.091,4801.883,4801.864,4801.882,4801.856,2150.981,2142.874,4788.525,4840.166,4839.690,4839.913,2125.054,
1784490115,2595.726,4620.663,4620.641,4620.672,4620.653,2057.013,2544.911,4620.659,4630.684,4630.108,4639.258,2054.869,
1784490120,2062.320,4641.329,4641.332,4641.321,4641.325,2002.166,2062.375,4640.724,4639.992,4777.543,4640.392,1909.817,
1784490125,2062.621,4641.361,4641.358,4641.353,4641.351,2062.377,2046.735,4640.971,4640.837,4641.140,4641.231,2062.276,
1784490130,2061.376,4642.753,4642.759,4642.761,4642.765,3971.987,2065.482,4642.736,4651.887,4643.633,4641.080,4145.780,
1784490135,2073.002,4666.284,4666.278,4666.297,4666.281,2073.332,2071.376,4665.786,4667.250,4648.820,4624.582,2071.499,
1784490140,2073.263,4666.370,4666.304,4666.328,4666.317,2073.649,2073.418,4665.977,4665.577,4665.498,4665.710,2073.579,
1784490145,1866.267,4669.541,4669.504,4669.535,4669.544,2076.410,2036.837,4665.948,4663.757,4669.194,4665.469,2075.375,
1784490150,1880.082,4683.908,4683.905,4683.901,4683.907,2691.463,2043.755,4691.031,4681.522,4666.081,4656.756,2111.970,
1784490155,2082.077,4705.877,4705.885,4705.866,4716.223,2097.309,1886.443,4716.125,4716.142,4714.513,4715.805,2101.075,
1784490160,2023.604,4716.245,4716.239,4716.231,4716.230,1886.243,1985.225,4716.149,4715.637,4715.654,4715.959,1886.474,
1784490165,2095.605,4716.217,4716.193,4716.205,4716.213,2097.485,2093.850,4710.796,4710.134,4714.306,4709.485,1887.191,
