2026-07-18T20:31:43+00:00 tsp supervisor launch attempt 1
tsp control_matrix_best_heldout heldout seed=28 rep=0: SOLVED 0.516794s
tsp control_matrix_best_heldout heldout seed=29 rep=0: SOLVED 0.839822s
tsp control_matrix_best_heldout heldout seed=30 rep=0: SOLVED 1.090714s
tsp control_random_euclidean train seed=1 rep=0: SOLVED 0.076939s
tsp control_random_euclidean train seed=1 rep=1: SOLVED 0.076406s
tsp control_random_euclidean train seed=1 rep=2: SOLVED 0.076176s
tsp control_random_euclidean train seed=2 rep=0: SOLVED 0.076321s
tsp control_random_euclidean train seed=2 rep=1: SOLVED 0.076214s
tsp control_random_euclidean train seed=2 rep=2: SOLVED 0.076323s
tsp control_random_euclidean train seed=3 rep=0: SOLVED 0.047497s
tsp control_random_euclidean train seed=3 rep=1: SOLVED 0.047594s
tsp control_random_euclidean train seed=3 rep=2: SOLVED 0.047761s
tsp control_random_euclidean train seed=4 rep=0: SOLVED 0.090819s
tsp control_random_euclidean train seed=4 rep=1: SOLVED 0.090486s
tsp control_random_euclidean train seed=4 rep=2: SOLVED 0.091226s
tsp control_random_euclidean train seed=5 rep=0: SOLVED 0.114691s
tsp control_random_euclidean train seed=5 rep=1: SOLVED 0.113847s
tsp control_random_euclidean train seed=5 rep=2: SOLVED 0.114721s
tsp control_random_euclidean train seed=6 rep=0: SOLVED 0.071130s
tsp control_random_euclidean train seed=6 rep=1: SOLVED 0.071417s
tsp control_random_euclidean train seed=6 rep=2: SOLVED 0.071053s
tsp control_random_euclidean train seed=7 rep=0: SOLVED 0.111236s
tsp control_random_euclidean train seed=7 rep=1: SOLVED 0.113356s
tsp control_random_euclidean train seed=7 rep=2: SOLVED 0.113823s
tsp control_random_euclidean heldout seed=8 rep=0: SOLVED 0.063190s
tsp control_random_euclidean heldout seed=9 rep=0: SOLVED 0.049906s
tsp control_random_euclidean heldout seed=10 rep=0: SOLVED 0.049997s
tsp control_random_euclidean heldout seed=11 rep=0: SOLVED 0.056188s
tsp control_random_euclidean heldout seed=12 rep=0: SOLVED 0.139793s
tsp control_random_euclidean heldout seed=13 rep=0: SOLVED 0.117697s
tsp control_random_euclidean heldout seed=14 rep=0: SOLVED 0.053315s
tsp control_random_euclidean heldout seed=15 rep=0: SOLVED 0.115306s
tsp control_random_euclidean heldout seed=16 rep=0: SOLVED 0.115486s
tsp control_random_euclidean heldout seed=17 rep=0: SOLVED 0.064813s
tsp control_random_euclidean heldout seed=18 rep=0: SOLVED 0.062379s
tsp control_random_euclidean heldout seed=19 rep=0: SOLVED 0.102804s
tsp control_random_euclidean heldout seed=20 rep=0: SOLVED 0.115785s
tsp control_random_euclidean heldout seed=21 rep=0: SOLVED 0.071481s
tsp control_random_euclidean heldout seed=22 rep=0: SOLVED 0.069800s
tsp control_random_euclidean heldout seed=23 rep=0: SOLVED 0.111139s
tsp control_random_euclidean heldout seed=24 rep=0: SOLVED 0.020798s
tsp control_random_euclidean heldout seed=25 rep=0: SOLVED 0.075662s
tsp control_random_euclidean heldout seed=26 rep=0: SOLVED 0.067157s
tsp control_random_euclidean heldout seed=27 rep=0: SOLVED 0.118527s
tsp control_random_euclidean heldout seed=28 rep=0: SOLVED 0.022273s
tsp control_random_euclidean heldout seed=29 rep=0: SOLVED 0.038635s
tsp control_random_euclidean heldout seed=30 rep=0: SOLVED 0.099736s
tsp champion_cma train seed=1 rep=0: SOLVED 9.875985s
tsp champion_cma train seed=1 rep=1: SOLVED 9.839817s
tsp champion_cma train seed=1 rep=2: SOLVED 9.849503s
tsp champion_cma train seed=2 rep=0: SOLVED 0.181664s
tsp champion_cma train seed=2 rep=1: SOLVED 0.184688s
tsp champion_cma train seed=2 rep=2: SOLVED 0.183917s
tsp champion_cma train seed=3 rep=0: SOLVED 0.158811s
tsp champion_cma train seed=3 rep=1: SOLVED 0.158988s
